42.5,2.53,8.86,7.59,6.33,6.33,5.06,0,7.59,5.06,0,10.13,8.86,12.66,5.06,6.33,7.59,-0.010470588,-0.11125,-0.445,0.3625,0.1224,0.0411,0.518806,-4.7323,2.482,-1.3994,-1.4776,1.195,-0.089,-1.227586207,-0.471,0.0764512,3.29,0.026,-276.8,-3.46,-795.4,-9.9425,74.8,0.935,0.175,0.15,0.0375,7.25,12.06896552,10.34482759,2.586206897
40.28,4.23,4.23,14.08,5.63,4.23,4.23,0,7.04,5.63,2.82,7.04,9.86,12.68,4.23,4.23,9.86,-0.008689176,-0.175,-0.35,0.3333,0.139,0.0428,1,-3.3112,1.5508,-1.2654,-1.3926,1.081,-0.116666667,-1.05,-0.373333333,0.0650174,3.08,0.023333333,-168.3,-2.3375,-472,-6.555555556,83.4,1.158333333,0.166666667,0.125,0.041666667,12,25,18.75,6.25
45.95,2.74,4.11,5.48,6.85,1.37,4.11,0,12.33,2.74,4.11,12.33,9.59,12.33,5.48,9.59,6.85,-0.010117519,-0.154954955,-0.4649,0.3784,0.1091,0.037,0.585786,-5.0084,2.5021,-1.4294,-1.4894,0.7938,-0.116216216,-1.228571429,-0.488648649,0.0571791,2.74,0.023783784,-221.1,-2.987837838,-613.3,-8.287837838,87.4,1.181081081,0.162162162,0.148648649,0.067567568,9.333333333,14.28571429,13.0952381,5.952380952
53.01,3.66,4.88,7.32,3.66,3.66,8.54,2.44,7.32,4.88,3.66,10.98,10.98,7.32,3.66,10.98,6.1,-0.011499717,-0.203212851,-0.6096,0.4096,0.0391,0.015,1,-8.6002,4.0904,-2.0736,-2.1539,1.6293,-0.152409639,-1.488235294,-0.619879518,0.412223,1.24,0.010240964,-302.1,-3.639759036,-834.4,-10.05301205,88.9,1.071084337,0.144578313,0.192771084,0.072289157,11.33333333,11.76470588,15.68627451,5.882352941
47.62,2.41,6.02,9.64,2.41,3.61,6.02,1.2,7.23,4.82,3.61,9.64,10.84,9.64,3.61,7.23,12.05,-0.008374633,-0.132936508,-0.3988,0.369,0.1363,0.0476,0.585786,-3.4854,2.4864,-1.3442,-1.3505,0.6968,-0.099702381,-1.080645161,-0.419166667,0.0626164,4,0.020357143,-230.3,-2.741666667,-653.9,-7.78452381,79.1,0.941666667,0.154761905,0.142857143,0.071428571,10.33333333,13.97849462,12.90322581,6.451612903
48.28,3.49,4.65,12.79,3.49,4.65,5.81,1.16,6.98,5.81,5.81,11.63,5.81,10.47,1.16,4.65,11.63,-0.010142916,-0.244827586,-0.4897,0.3908,0.0726,0.0307,1,-6.0791,3.3569,-1.8076,-1.7841,0.6327,-0.163218391,-1.252941176,-0.526896552,0.011742,2.67,0.037241379,-270.4,-3.108045977,-748.3,-8.601149425,88.2,1.013793103,0.149425287,0.172413793,0.068965517,17,19.11764706,22.05882353,8.823529412
56.96,1.28,5.13,12.82,3.85,5.13,11.54,2.56,6.41,8.97,3.85,12.82,5.13,7.69,3.85,3.85,5.13,-0.008400632,-0.159493671,-0.4785,0.3544,0.1539,0.0527,0.585786,-4.0115,2.394,-1.1674,-1.1914,0.8623,-0.119620253,-1.35,-0.5,0.0630143,4.17,0.021518987,-207.7,-2.629113924,-574.2,-7.26835443,88.5,1.120253165,0.126582278,0.189873418,0.037974684,9.333333333,11.9047619,17.85714286,3.571428571
40.23,2.33,3.49,10.47,8.14,3.49,5.81,0,5.81,8.14,1.16,5.81,10.47,11.63,4.65,9.3,9.3,-0.012371365,-0.165900383,-0.4977,0.3908,0.0636,0.0233,0.585786,-8.1437,3.4252,-1.9905,-2.0502,1.6891,-0.124425287,-1.273529412,-0.510229885,0.170393,2.03,0.012528736,-268.3,-3.083908046,-750.3,-8.624137931,84.4,0.970114943,0.206896552,0.126436782,0.057471264,11.33333333,17.64705882,10.78431373,4.901960784
42.17,1.22,6.1,8.54,8.54,4.88,6.1,1.22,6.1,6.1,0,7.32,9.76,12.2,6.1,7.32,8.54,-0.01162912,-0.122590361,-0.4904,0.3735,0.1051,0.0404,0.518806,-6.6035,2.7975,-1.5387,-1.4955,0.7565,-0.098072289,-1.312903226,-0.525421687,0.0625617,3.35,0.035060241,-284.3,-3.425301205,-803.5,-9.680722892,80.7,0.972289157,0.192771084,0.156626506,0.024096386,7.75,12.90322581,10.48387097,1.612903226
50,1.2,8.43,10.84,3.61,7.23,7.23,1.2,6.02,6.02,4.82,8.43,9.64,9.64,1.2,8.43,6.02,-0.009642,-0.160714286,-0.4821,0.3929,0.0391,0.0163,0.585786,-5.1813,3.5728,-1.9241,-1.9688,1.1353,-0.120535714,-1.227272727,-0.488452381,0.420199,1.37,0.006309524,-282.4,-3.361904762,-794.1,-9.453571429,82.5,0.982142857,0.166666667,0.166666667,0.05952381,11,14.14141414,14.14141414,5.050505051
